,IdList
1266,30275460
1267,30274326
1268,30273821
1269,30273662
1270,30273616
1271,30273560
1272,30273406
1273,30273374
1274,30273090
1275,30272858
1276,30272836
1277,30271526
1278,30270679
1279,30270670
1280,30270442
1281,30270327
1282,30270274
1283,30270215
1284,30269448
1285,30268024
1286,30267768
1287,30267558
1288,30266729
1289,30266117
1290,30265576
1291,30265241
1292,30264828
1293,30264458
1294,30264370
1295,30264171
1296,30264073
1297,30263039
1298,30262316
1299,30262148
1300,30261887
1301,30261698
1302,30261661
1303,30261617
1304,30261553
1305,30261289
1306,30261280
1307,30260984
1308,30260393
1309,30259809
1310,30258739
1311,30258403
1312,30258366
1313,30258363
1314,30257983
1315,30257977
1316,30257523
1317,30257464
1318,30257454
1319,30257444
1320,30257374
1321,30257330
1322,30257264
1323,30256681
1324,30256654
1325,30256492
1326,30256131
1327,30255750
1328,30255260
1329,30255188
1330,30255184
1331,30254630
1332,30254498
1333,30254287
1334,30254156
1335,30254013
1336,30253939
1337,30253763
1338,30253280
1339,30253206
1340,30253111
1341,30253082
1342,30252613
1343,30251622
1344,30251457
1345,30251338
1346,30251109
1347,30251017
1348,30250849
1349,30250560
1350,30250438
1351,30250258
1352,30249590
1353,30249576
1354,30249323
1355,30249083
1356,30249012
1357,30249008
1358,30248889
1359,30248505
1360,30248445
1361,30247998
1362,30246883
1363,30246793
1364,30246576
1365,30246472
1366,30245336
1367,30245181
1368,30244780
1369,30244204
1370,30243773
1371,30243722
1372,30243538
1373,30242233
1374,30241944
1375,30241863
1376,30241659
1377,30241565
1378,30241426
1379,30241362
1380,30241328
1381,30241292
1382,30240938
1383,30240538
1384,30240535
1385,30239555
1386,30239292
1387,30238324
1388,30238111
1389,30236762
1390,30235828
1391,30235720
1392,30235452
1393,30235399
1394,30235253
1395,30235219
1396,30234883
1397,30234760
1398,30234352
1399,30233288
1400,30232857
1401,30232852
1402,30232768
1403,30232707
1404,30232389
1405,30232024
1406,30232001
1407,30231992
1408,30231880
1409,30231537
1410,30231531
1411,30231466
1412,30230594
1413,30230575
1414,30230471
1415,30230367
1416,30230252
1417,30230244
1418,30229293
1419,30228826
1420,30228670
1421,30228117
1422,30227840
1423,30227182
1424,30227148
1425,30227131
1426,30226991
1427,30226915
1428,30226474
1429,30226473
1430,30226009
1431,30226008
1432,30226005
1433,30225859
1434,30225432
1435,30224302
1436,30224299
1437,30224057
1438,30223660
1439,30223438
1440,30223002
1441,30222981
1442,30222916
1443,30222208
1444,30222113
1445,30221679
1446,30219609
1447,30219433
1448,30219301
1449,30219052
1450,30218679
1451,30217502
1452,30217462
1453,30217262
1454,30217210
1455,30216995
1456,30216887
1457,30216657
1458,30216165
1459,30216119
1460,30215930
1461,30215922
1462,30215551
1463,30215475
1464,30214649
1465,30214535
1466,30214412
1467,30214272
1468,30213948
1469,30213825
1470,30213770
1471,30213695
1472,30213694
1473,30213134
1474,30213052
1475,30213037
1476,30212139
1477,30212125
1478,30212077
1479,30212072
1480,30212649
1481,30212643
1482,30212233
1483,30212231
1484,30211444
1485,30211231
1486,30211134
1487,30210942
1488,30210573
1489,30210091
